Protein,Protein ID,Baseline,Treatment_10000,Difference
sp|P21333|FLNA_HUMAN,P21333,184,0,-184
sp|P68032|ACTC_HUMAN,P68032,17,201,184
sp|P21333-2|FLNA_HUMAN,P21333-2,0,183,183
sp|P07355-2|ANXA2_HUMAN,P07355-2,0,175,175
sp|P07355|ANXA2_HUMAN,P07355,172,0,-172
sp|Q15149-4|PLEC_HUMAN,Q15149-4,0,160,160
sp|P60709|ACTB_HUMAN,P60709,296,149,-147
sp|O75369-8|FLNB_HUMAN,O75369-8,0,133,133
sp|O75369|FLNB_HUMAN,O75369,130,0,-130
sp|P11413|G6PD_HUMAN,P11413,124,0,-124
sp|P11413-2|G6PD_HUMAN,P11413-2,0,124,124
sp|P05787-2|K2C8_HUMAN,P05787-2,0,123,123
sp|P07437|TBB5_HUMAN,P07437,20,138,118
sp|P07900-2|HS90A_HUMAN,P07900-2,0,118,118
sp|Q13813-3|SPTN1_HUMAN,Q13813-3,0,113,113
sp|P02662|CASA1_BOVIN,P02662,0,112,112
sp|Q13813|SPTN1_HUMAN,Q13813,107,0,-107
sp|P68371|TBB4B_HUMAN,P68371,135,32,-103
sp|Q15149|PLEC_HUMAN,Q15149,92,0,-92
sp|P04075|ALDOA_HUMAN,P04075,86,0,-86
sp|P04075-2|ALDOA_HUMAN,P04075-2,0,85,85
sp|Q00610-2|CLH1_HUMAN,Q00610-2,0,85,85
sp|P18206|VINC_HUMAN,P18206,82,0,-82
sp|P52209-2|6PGD_HUMAN,P52209-2,0,80,80
sp|P05787|K2C8_HUMAN,P05787,77,0,-77
sp|P18206-2|VINC_HUMAN,P18206-2,0,74,74
sp|P78527|PRKDC_HUMAN,P78527,7,76,69
sp|P68366-2|TBA4A_HUMAN,P68366-2,0,66,66
sp|P52272|HNRPM_HUMAN,P52272,65,0,-65
sp|P60174-1|TPIS_HUMAN,P60174-1,0,65,65
sp|P52209|6PGD_HUMAN,P52209,64,0,-64
sp|P00338|LDHA_HUMAN,P00338,62,0,-62
sp|Q9BQE3|TBA1C_HUMAN,Q9BQE3,62,0,-62
sp|P60174|TPIS_HUMAN,P60174,61,0,-61
sp|P00338-3|LDHA_HUMAN,P00338-3,0,58,58
sp|Q01082-3|SPTB2_HUMAN,Q01082-3,0,58,58
sp|Q09666|AHNK_HUMAN,Q09666,204,149,-55
sp|Q00610|CLH1_HUMAN,Q00610,54,0,-54
sp|Q14980|NUMA1_HUMAN,Q14980,54,0,-54
sp|P52272-2|HNRPM_HUMAN,P52272-2,0,54,54
sp|P07900|HS90A_HUMAN,P07900,53,0,-53
sp|Q01082|SPTB2_HUMAN,Q01082,78,25,-53
sp|P06753-2|TPM3_HUMAN,P06753-2,0,52,52
sp|Q8WUM4-2|PDC6I_HUMAN,Q8WUM4-2,0,51,51
sp|Q8IVF2-3|AHNK2_HUMAN,Q8IVF2-3,0,50,50
sp|Q14204|DYHC1_HUMAN,Q14204,40,89,49
sp|P04406|G3P_HUMAN,P04406,99,144,45
sp|Q86UP2|KTN1_HUMAN,Q86UP2,45,0,-45
sp|Q00839-2|HNRPU_HUMAN,Q00839-2,0,45,45
sp|P37802|TAGL2_HUMAN,P37802,43,0,-43
sp|P49327|FAS_HUMAN,P49327,72,115,43
sp|Q8WUM4|PDC6I_HUMAN,Q8WUM4,43,0,-43
sp|P08195-2|4F2_HUMAN,P08195-2,0,43,43
sp|P22314-2|UBA1_HUMAN,P22314-2,0,43,43
sp|Q99880|H2B1L_HUMAN,Q99880,42,0,-42
sp|P26641-2|EF1G_HUMAN,P26641-2,0,42,42
sp|P02666|CASB_BOVIN,P02666,0,41,41
sp|P17844-2|DDX5_HUMAN,P17844-2,0,41,41
sp|P22392-2|NDKB_HUMAN,P22392-2,0,41,41
sp|P31939-2|PUR9_HUMAN,P31939-2,0,40,40
sp|P35221|CTNA1_HUMAN,P35221,39,0,-39
sp|Q8IVF2|AHNK2_HUMAN,Q8IVF2,39,0,-39
sp|P37802-2|TAGL2_HUMAN,P37802-2,0,39,39
sp|P55060|XPO2_HUMAN,P55060,38,0,-38
sp|P31327-3|CPSM_HUMAN,P31327-3,0,38,38
sp|Q14697-2|GANAB_HUMAN,Q14697-2,0,38,38
sp|P05783|K1C18_HUMAN,P05783,91,128,37
sp|P22314|UBA1_HUMAN,P22314,37,0,-37
sp|P27816|MAP4_HUMAN,P27816,37,0,-37
sp|Q14697|GANAB_HUMAN,Q14697,37,0,-37
sp|P35221-2|CTNA1_HUMAN,P35221-2,0,37,37
sp|Q14980-2|NUMA1_HUMAN,Q14980-2,0,37,37
sp|Q16891-2|MIC60_HUMAN,Q16891-2,0,37,37
tr|A0A1C7CYX9|A0A1C7CYX9_HUMAN,A0A1C7CYX9,0,37,37
sp|P08195|4F2_HUMAN,P08195,36,0,-36
sp|Q92598|HS105_HUMAN,Q92598,36,0,-36
sp|P31939|PUR9_HUMAN,P31939,35,0,-35
